id,title,link,image_link
1,Datáfono Bold Neo,https://datafonos.bold.co/bold-neo/,https://bold.co/assets/img/video-product-poster-f150287d81.jpg
2,Datáfono Bold Smart,https://datafonos.bold.co/bold-smart/,https://datafonos.bold.co/wp-content/uploads/2022/12/datafonoHeader-test1.png
